Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_50_100,Gas_600_800,Gas_800_1000,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Gas_ovr_1000,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_50_100,Nuclear_600_800,Nuclear_800_1000,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200,Nuclear_below_50,Nuclear_ovr_1000
775.4999999,140.8837448,142.3440914,744.9431805,267.5864197,492.9152813,0,0,0,0,0,0,0,0,0,0,780.2058823,0,0,377.65,1738.946363,3216.76584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,12.11818568
775.4999999,140.8837448,142.3440914,1018.800064,267.5864197,471.755146,0,0,0,0,0,0,0,0,0,0,780.2058823,0,0,377.65,1738.946363,2980.82584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,12.11818568
775.4999999,140.8837448,142.3440914,1018.800064,267.5864197,471.755146,0,0,0,0,0,0,0,0,0,0,715.5058823,0,0,377.65,1738.946363,2980.82584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,12.11818568
775.4999999,140.8837448,142.3440914,1009.087479,267.5864197,471.755146,0,0,0,0,0,0,0,0,0,0,715.5058823,0,0,377.65,1603.946363,2980.82584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,12.11818568
775.4999999,140.8837448,142.3440914,1009.087479,267.5864197,471.755146,217.6788324,0,0,0,0,0,0,0,0,0,586.1058823,0,0,377.65,1603.946363,2980.82584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,12.11818568
775.4999999,140.8837448,142.3440914,830.9205873,267.5864197,471.755146,217.6788324,0,0,0,0,0,0,0,0,0,586.1058823,0,0,377.65,1468.946363,2980.82584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,12.11818568
775.4999999,367.9399698,142.3440914,830.9205873,267.5864197,471.755146,217.6788324,0,0,0,0,0,0,0,0,0,586.1058823,0,0,377.65,1468.946363,2980.82584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,12.11818568
775.4999999,140.8837448,31.43641789,822.7105872,267.5864197,471.755146,0,0,0,0,0,0,0,0,0,0,521.4058823,0,0,377.65,1707.98306,3216.76584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,12.11818568
775.4999999,140.8837448,157.2687708,822.7105872,267.5864197,448.3717862,0,0,0,0,0,0,0,0,0,0,521.4058823,0,0,377.65,1603.946363,3216.76584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,12.11818568
775.4999999,207.1837448,31.43641789,822.7105872,267.5864197,448.3717862,0,0,0,0,0,0,0,0,0,0,521.4058823,0,0,377.65,1603.946363,3216.76584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,12.11818568
775.4999999,207.1837448,249.2231826,822.7105872,267.5864197,329.8750296,0,0,0,0,0,0,0,0,0,0,521.4058823,0,0,377.65,1603.946363,3216.76584,178.83,0,0,0,0,0,0,0,0,0,0,0,0,12.11818568
